Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-24;Mercredi;10:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;103
2017-05-24;Mercredi;11:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;47
2017-05-24;Mercredi;12:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-24;Mercredi;13:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;70
2017-05-24;Mercredi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;90
2017-05-24;Mercredi;13:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-24;Mercredi;14:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-24;Mercredi;14:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;78
2017-05-24;Mercredi;14:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;70
2017-05-24;Mercredi;15:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-24;Mercredi;15:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;63
2017-05-24;Mercredi;15:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;57
2017-05-24;Mercredi;16:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;47
2017-05-24;Mercredi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;28
2017-05-24;Mercredi;16:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;62
2017-05-24;Mercredi;16:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;109
2017-05-24;Mercredi;17:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-24;Mercredi;17:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;71
2017-05-24;Mercredi;17:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;36
2017-05-24;Mercredi;18:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-24;Mercredi;18:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-24;Mercredi;18:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-24;Mercredi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;65
2017-05-24;Mercredi;19:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-24;Mercredi;20:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;98
2017-05-24;Mercredi;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;78
2017-05-24;Mercredi;20:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;36
2017-05-24;Mercredi;21:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;36
2017-05-24;Mercredi;21:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;138
2017-05-24;Mercredi;22:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-24;Mercredi;23:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;31
2017-05-24;Mercredi;23:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-25;Jeudi;08:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;78
2017-05-25;Jeudi;10:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-25;Jeudi;10:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;69
2017-05-25;Jeudi;10:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;65
2017-05-25;Jeudi;10:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-25;Jeudi;10:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-25;Jeudi;11:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-25;Jeudi;11:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;31
2017-05-25;Jeudi;12:00:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;84
2017-05-25;Jeudi;12:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;91
2017-05-25;Jeudi;12:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-25;Jeudi;13:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;29
2017-05-25;Jeudi;13:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;46
2017-05-25;Jeudi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;28
2017-05-25;Jeudi;13:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;29
2017-05-25;Jeudi;14:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;33
2017-05-25;Jeudi;14:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;51
2017-05-25;Jeudi;14:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-25;Jeudi;15:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-25;Jeudi;15:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;51
2017-05-25;Jeudi;15:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-25;Jeudi;15:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-25;Jeudi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-25;Jeudi;17:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-25;Jeudi;17:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;28
2017-05-25;Jeudi;17:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-25;Jeudi;18:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-25;Jeudi;19:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-25;Jeudi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-25;Jeudi;20:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;49
2017-05-25;Jeudi;20:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-25;Jeudi;21:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-25;Jeudi;21:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-25;Jeudi;23:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;49
2017-05-25;Jeudi;23:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-26;Vendredi;08:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-26;Vendredi;08:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-26;Vendredi;08:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;103
2017-05-26;Vendredi;10:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;47
2017-05-26;Vendredi;10:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;47
2017-05-26;Vendredi;11:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;90
2017-05-26;Vendredi;11:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;34
2017-05-26;Vendredi;12:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;40
2017-05-26;Vendredi;12:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;44
2017-05-26;Vendredi;13:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;68
2017-05-26;Vendredi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;26
2017-05-26;Vendredi;13:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;34
2017-05-26;Vendredi;13:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-26;Vendredi;14:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;33
2017-05-26;Vendredi;14:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;52
2017-05-26;Vendredi;14:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;31
2017-05-26;Vendredi;15:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;106
2017-05-26;Vendredi;16:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;59
2017-05-26;Vendredi;16:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;60
2017-05-26;Vendredi;16:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;48
2017-05-26;Vendredi;16:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-26;Vendredi;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;21
2017-05-26;Vendredi;16:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;84
2017-05-26;Vendredi;17:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;44
2017-05-26;Vendredi;17:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;68
2017-05-26;Vendredi;17:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;82
2017-05-26;Vendredi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;61
2017-05-26;Vendredi;17:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;58
2017-05-26;Vendredi;17:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;113
2017-05-26;Vendredi;18:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;67
2017-05-26;Vendredi;18:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;30
2017-05-26;Vendredi;18:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;66
2017-05-26;Vendredi;18:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;66
2017-05-26;Vendredi;18:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;50
2017-05-26;Vendredi;19:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;35
2017-05-26;Vendredi;19:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;77
2017-05-26;Vendredi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;50
2017-05-26;Vendredi;19:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;45
2017-05-26;Vendredi;20:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;86
2017-05-26;Vendredi;20:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;40
2017-05-26;Vendredi;20:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;45
2017-05-26;Vendredi;21:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;33
2017-05-26;Vendredi;21:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;57
2017-05-26;Vendredi;22:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;44
2017-05-26;Vendredi;22:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;92
2017-05-26;Vendredi;22:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;100
2017-05-26;Vendredi;23:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;59
2017-05-27;Samedi;08:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;56
2017-05-27;Samedi;08:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;40
2017-05-27;Samedi;08:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;67
2017-05-27;Samedi;09:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;46
2017-05-27;Samedi;09:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;77
2017-05-27;Samedi;10:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;150
2017-05-27;Samedi;11:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;103
2017-05-27;Samedi;11:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;69
2017-05-27;Samedi;11:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;52
2017-05-27;Samedi;12:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;108
2017-05-27;Samedi;12:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;40
2017-05-27;Samedi;12:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;72
2017-05-27;Samedi;12:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;67
2017-05-27;Samedi;13:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;49
2017-05-27;Samedi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;35
2017-05-27;Samedi;13:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;47
2017-05-27;Samedi;13:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;40
2017-05-27;Samedi;13:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-27;Samedi;14:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;59
2017-05-27;Samedi;14:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;40
2017-05-27;Samedi;14:00:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;72
2017-05-27;Samedi;14:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-27;Samedi;15:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-27;Samedi;15:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-27;Samedi;15:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;114
2017-05-27;Samedi;15:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;32
2017-05-27;Samedi;15:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-27;Samedi;16:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;83
2017-05-27;Samedi;16:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-27;Samedi;17:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-27;Samedi;17:00:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;82
2017-05-27;Samedi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;36
2017-05-27;Samedi;17:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;41
2017-05-27;Samedi;17:30:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;82
2017-05-27;Samedi;18:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-27;Samedi;18:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;115
2017-05-27;Samedi;18:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;65
2017-05-27;Samedi;19:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;63
2017-05-27;Samedi;19:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;139
2017-05-27;Samedi;20:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;85
2017-05-27;Samedi;20:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;173
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;79
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;35
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;93
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;51
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;61
2017-05-27;Samedi;20:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;53
2017-05-27;Samedi;21:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;177
2017-05-27;Samedi;21:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-27;Samedi;21:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;103
2017-05-27;Samedi;22:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;209
2017-05-27;Samedi;22:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;106
2017-05-27;Samedi;23:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-27;Samedi;23:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;106
2017-05-28;Dimanche;00:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;99
2017-05-28;Dimanche;01:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;39
2017-05-28;Dimanche;06:00:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;71
2017-05-28;Dimanche;06:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;172
2017-05-28;Dimanche;07:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;172
2017-05-28;Dimanche;08:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;172
2017-05-28;Dimanche;08:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;172
2017-05-28;Dimanche;08:30:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;105
2017-05-28;Dimanche;09:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;43
2017-05-28;Dimanche;10:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-28;Dimanche;10:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;106
2017-05-28;Dimanche;10:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;35
2017-05-28;Dimanche;10:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;43
2017-05-28;Dimanche;11:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-28;Dimanche;12:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;106
2017-05-28;Dimanche;12:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-28;Dimanche;12:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;53
2017-05-28;Dimanche;13:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;69
2017-05-28;Dimanche;13:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;61
2017-05-28;Dimanche;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;45
2017-05-28;Dimanche;13:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-28;Dimanche;14:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;91
2017-05-28;Dimanche;14:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;76
2017-05-28;Dimanche;14:00:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;217
2017-05-28;Dimanche;14:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;43
2017-05-28;Dimanche;14:30:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;217
2017-05-28;Dimanche;15:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;106
2017-05-28;Dimanche;16:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;35
2017-05-28;Dimanche;16:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;149
2017-05-28;Dimanche;17:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;50
2017-05-28;Dimanche;17:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;50
2017-05-28;Dimanche;18:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;62
2017-05-28;Dimanche;18:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;171
2017-05-28;Dimanche;19:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;86
2017-05-28;Dimanche;19:30:00;Zone FIMU;Present;Europe;Pays-Bas;Touriste Etranger;Periode normale;82
2017-05-28;Dimanche;19:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;45
2017-05-28;Dimanche;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;147
2017-05-28;Dimanche;20:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;49
2017-05-28;Dimanche;21:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;105
2017-05-28;Dimanche;21:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;74
2017-05-28;Dimanche;22:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;44
2017-05-28;Dimanche;23:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;177
2017-05-29;Lundi;01:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;168
2017-05-29;Lundi;03:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;177
2017-05-29;Lundi;04:00:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;108
2017-05-29;Lundi;05:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;177
2017-05-29;Lundi;06:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;177
2017-05-29;Lundi;06:30:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;108
2017-05-29;Lundi;08:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;110
2017-05-29;Lundi;08:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;42
2017-05-29;Lundi;08:30:00;Zone FIMU;Present;Europe;Pays-Bas;Touriste Etranger;Periode normale;90
2017-05-29;Lundi;08:30:00;Zone FIMU;Present;Oceanie;Asie Océanie;Touriste Etranger;Periode normale;108
2017-05-29;Lundi;09:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;93
2017-05-29;Lundi;10:00:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;55
2017-05-29;Lundi;10:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;93
2017-05-29;Lundi;10:30:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;113
2017-05-29;Lundi;11:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;62
2017-05-29;Lundi;11:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;104
2017-05-29;Lundi;12:30:00;Zone FIMU;Present;Europe;Belgique+Luxembourg;Touriste Etranger;Periode normale;35
2017-05-29;Lundi;13:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;52
2017-05-29;Lundi;14:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;38
2017-05-29;Lundi;14:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;140
2017-05-29;Lundi;17:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;35
2017-05-29;Lundi;17:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-29;Lundi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-29;Lundi;17:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-29;Lundi;17:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;32
