Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-12;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2714
2017-05-12;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;437
2017-05-12;Vendredi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;97
2017-05-12;Vendredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;215
2017-05-12;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;132
2017-05-12;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;695
2017-05-12;Vendredi;Veille;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-12;Vendredi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;39
2017-05-12;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;21
2017-05-12;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;25
2017-05-12;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;196
2017-05-12;Vendredi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;29
2017-05-12;Vendredi;Veille;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;563
2017-05-12;Vendredi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;139
2017-05-12;Vendredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;437
2017-05-12;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1630
2017-05-12;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;54
