Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-11;Jeudi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1010
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;56
2017-05-12;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;133
2017-05-12;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;29
2017-05-12;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;91
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;35
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;229
2017-05-12;Vendredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;49
2017-05-12;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-12;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;31
2017-05-12;Vendredi;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-12;Vendredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;128
2017-05-12;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;60
2017-05-12;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;70
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;741
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;36
2017-05-12;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;60
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;3320
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;66
2017-05-12;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;1264
2017-05-12;Vendredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1062
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;77
2017-05-14;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;180
2017-05-14;Dimanche;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;31
2017-05-14;Dimanche;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;48
2017-05-14;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;36
2017-05-14;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;314
2017-05-14;Dimanche;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;88
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;136
2017-05-14;Dimanche;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;28
2017-05-14;Dimanche;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;176
2017-05-14;Dimanche;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;30
2017-05-14;Dimanche;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;222
2017-05-14;Dimanche;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;414
2017-05-14;Dimanche;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;32
2017-05-14;Dimanche;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;101
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;7055
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;130
2017-05-14;Dimanche;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2431
2017-05-14;Dimanche;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;78
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1922
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
