Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;07 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;08 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;09 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;10 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;11 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;12 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;13 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;14 jours;Periode normale;3961
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;01 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;02 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;03 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;04 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;05 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;06 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;07 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;08 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;09 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;10 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;11 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;12 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;13 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;14 jours;Periode normale;431
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;01 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;02 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;03 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;04 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;05 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;06 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;07 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;08 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;09 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;10 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;11 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;12 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;13 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;14 jours;Periode normale;1317
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;01 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;02 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;03 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;04 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;05 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;06 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;07 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;08 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;09 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;10 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;11 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;12 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;13 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;14 jours;Periode normale;826
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;01 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;02 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;03 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;04 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;05 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;06 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;07 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;08 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;09 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;10 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;11 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;12 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;13 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Resident;14 jours;Periode normale;436
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;01 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;02 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;03 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;04 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;05 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;06 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;07 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;08 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;09 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;10 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;11 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;12 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;13 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;14 jours;Periode normale;420
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;01 jours;Periode normale;3314
