Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;11 jours;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;12 jours;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;13 jours;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Europe;Allemagne;Touriste Etranger;14 jours;Periode normale;26
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;01 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;02 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;03 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;04 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;05 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;06 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;07 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;08 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;09 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;10 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;11 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;12 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;13 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;14 jours;Periode normale;29
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;02 jours;Periode normale;#
