Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;119
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;630
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;37
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;472
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;3959
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;94
2017-05-11;Jeudi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;492
2017-05-11;Jeudi;Zone FIMU;CSP+;NR;Resident;Excursionniste;Periode normale;56
2017-05-11;Jeudi;Zone FIMU;CSP+;NR;Resident;Visiteur;Periode normale;439
2017-05-11;Jeudi;Zone FIMU;CSP+;NR;Touriste Français;Excursionniste;Periode normale;56
2017-05-11;Jeudi;Zone FIMU;CSP+;NR;Touriste Français;Visiteur;Periode normale;439
2017-05-11;Jeudi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Excursionniste;Periode normale;117
2017-05-11;Jeudi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;1342
2017-05-11;Jeudi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Excursionniste;Periode normale;118
2017-05-11;Jeudi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;735
2017-05-11;Jeudi;Zone FIMU;CSP+;rural dynamique;Resident;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;539
2017-05-11;Jeudi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;50
2017-05-11;Jeudi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;529
2017-05-11;Jeudi;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;335
2017-05-11;Jeudi;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;3093
2017-05-11;Jeudi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Visiteur;Periode normale;79
2017-05-11;Jeudi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;Excursionniste;Periode normale;71
2017-05-11;Jeudi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;Visiteur;Periode normale;208
2017-05-11;Jeudi;Zone FIMU;NR;NR;Resident;Excursionniste;Periode normale;56
2017-05-11;Jeudi;Zone FIMU;NR;NR;Resident;Visiteur;Periode normale;596
2017-05-11;Jeudi;Zone FIMU;NR;NR;Touriste Français;Excursionniste;Periode normale;56
2017-05-11;Jeudi;Zone FIMU;NR;NR;Touriste Français;Visiteur;Periode normale;476
2017-05-11;Jeudi;Zone FIMU;Populaire;NR;Resident;Excursionniste;Periode normale;56
