Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2449
2017-05-10;Mercredi;16:00:00;Zone FIMU;Present;Resident;Periode normale;9501
2017-05-10;Mercredi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2666
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Resident;Periode normale;8946
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;64
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3208
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Resident;Periode normale;9461
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;60
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3020
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Resident;Periode normale;8853
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;92
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3384
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Resident;Periode normale;8640
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;94
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2491
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Resident;Periode normale;8239
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;103
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2852
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Resident;Periode normale;8644
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;103
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1650
2017-05-10;Mercredi;19:30:00;Zone FIMU;Present;Resident;Periode normale;7629
2017-05-10;Mercredi;19:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2766
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Resident;Periode normale;5807
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;77
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2461
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Resident;Periode normale;6161
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;46
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2531
2017-05-10;Mercredi;21:00:00;Zone FIMU;Present;Resident;Periode normale;6837
2017-05-10;Mercredi;21:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3373
2017-05-10;Mercredi;21:30:00;Zone FIMU;Present;Resident;Periode normale;6876
2017-05-10;Mercredi;21:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3239
2017-05-10;Mercredi;22:00:00;Zone FIMU;Present;Resident;Periode normale;7495
2017-05-10;Mercredi;22:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1158
2017-05-10;Mercredi;22:30:00;Zone FIMU;Present;Resident;Periode normale;6145
