Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-16;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;253
2017-05-16;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2189
2017-05-16;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;786
2017-05-16;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;7088
2017-05-16;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;365
2017-05-16;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2441
2017-05-16;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;294
2017-05-16;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;436
2017-05-16;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;190
2017-05-16;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3433
2017-05-17;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;894
2017-05-17;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;7524
2017-05-17;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;191
2017-05-17;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2038
2017-05-17;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;789
2017-05-17;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6712
2017-05-17;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;377
2017-05-17;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2233
2017-05-17;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;303
2017-05-17;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;449
2017-05-17;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;203
2017-05-17;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3296
2017-05-18;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;932
2017-05-18;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;7679
2017-05-18;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;200
2017-05-18;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2387
2017-05-18;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;839
2017-05-18;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;7219
2017-05-18;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;470
2017-05-18;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2095
2017-05-18;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;52
2017-05-18;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;413
2017-05-18;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;461
