Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;NR;Visiteur;Journee;Résident ;All-FIMU;394
2016-04-26;Mardi;NR;Visiteur;Journee;Touriste Français;All-FIMU;76
2016-04-26;Mardi;NR;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-26;Mardi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;33
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13096
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3404
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2208
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;609
2016-04-27;Mercredi;F;Visiteur;Journee;Résident ;All-FIMU;6750
2016-04-27;Mercredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1493
2016-04-27;Mercredi;F;Excursionniste;Journee;Résident ;All-FIMU;1134
2016-04-27;Mercredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;223
2016-04-27;Mercredi;H;Visiteur;Journee;Résident ;All-FIMU;5902
2016-04-27;Mercredi;H;Visiteur;Journee;Touriste Français;All-FIMU;1835
2016-04-27;Mercredi;H;Excursionniste;Journee;Résident ;All-FIMU;996
2016-04-27;Mercredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;367
2016-04-27;Mercredi;NR;Visiteur;Journee;Résident ;All-FIMU;444
2016-04-27;Mercredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;76
2016-04-27;Mercredi;NR;Excursionniste;Journee;Résident ;All-FIMU;78
2016-04-27;Mercredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-28;Jeudi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;14139
2016-04-28;Jeudi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3932
2016-04-28;Jeudi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2290
2016-04-28;Jeudi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;731
2016-04-28;Jeudi;F;Visiteur;Journee;Résident ;All-FIMU;7282
2016-04-28;Jeudi;F;Visiteur;Journee;Touriste Français;All-FIMU;1910
2016-04-28;Jeudi;F;Excursionniste;Journee;Résident ;All-FIMU;1165
2016-04-28;Jeudi;F;Excursionniste;Journee;Touriste Français;All-FIMU;302
2016-04-28;Jeudi;H;Visiteur;Journee;Résident ;All-FIMU;6482
2016-04-28;Jeudi;H;Visiteur;Journee;Touriste Français;All-FIMU;1903
2016-04-28;Jeudi;H;Excursionniste;Journee;Résident ;All-FIMU;1027
2016-04-28;Jeudi;H;Excursionniste;Journee;Touriste Français;All-FIMU;396
2016-04-28;Jeudi;NR;Visiteur;Journee;Résident ;All-FIMU;375
2016-04-28;Jeudi;NR;Visiteur;Journee;Touriste Français;All-FIMU;119
2016-04-28;Jeudi;NR;Excursionniste;Journee;Résident ;All-FIMU;98
2016-04-28;Jeudi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;33
2016-04-29;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;14688
2016-04-29;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3932
2016-04-29;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2491
2016-04-29;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;655
2016-04-29;Vendredi;F;Visiteur;Journee;Résident ;All-FIMU;7280
2016-04-29;Vendredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1833
2016-04-29;Vendredi;F;Excursionniste;Journee;Résident ;All-FIMU;1107
2016-04-29;Vendredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;280
2016-04-29;Vendredi;H;Visiteur;Journee;Résident ;All-FIMU;6993
2016-04-29;Vendredi;H;Visiteur;Journee;Touriste Français;All-FIMU;2015
