Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-23;Samedi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;35
2016-04-23;Samedi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-23;Samedi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;785
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;345
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;923
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;451
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;117
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-23;Samedi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;923
2016-04-23;Samedi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;225
2016-04-23;Samedi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;88
2016-04-23;Samedi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;33
2016-04-23;Samedi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;28
2016-04-23;Samedi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;324
