Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-03;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2444
2016-05-03;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;690
2016-05-03;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;420
2016-05-04;Mercredi;Visiteur;Journee;Résident ;All-FIMU;13212
2016-05-04;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3627
2016-05-04;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;791
2016-05-04;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2328
2016-05-04;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;691
2016-05-04;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;358
2016-05-05;Jeudi;Visiteur;Journee;Résident ;All-FIMU;9930
2016-05-05;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;3326
2016-05-05;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;1138
2016-05-05;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;1733
2016-05-05;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;713
2016-05-05;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;596
2016-05-06;Vendredi;Visiteur;Journee;Résident ;All-FIMU;12753
2016-05-06;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;4171
2016-05-06;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;1254
2016-05-06;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;1934
2016-05-06;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;661
2016-05-06;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;580
2016-05-07;Samedi;Visiteur;Journee;Résident ;All-FIMU;12248
2016-05-07;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;4064
2016-05-07;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;1104
2016-05-07;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1736
2016-05-07;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;646
2016-05-07;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;501
2016-05-08;Dimanche;Visiteur;Journee;Résident ;All-FIMU;8744
2016-05-08;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;2272
2016-05-08;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;636
2016-05-08;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;1459
2016-05-08;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;461
2016-05-08;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;312
2016-05-09;Lundi;Visiteur;Journee;Résident ;All-FIMU;13206
2016-05-09;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;3465
2016-05-09;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;727
2016-05-09;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2171
2016-05-09;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;724
2016-05-09;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;336
2016-05-10;Mardi;Visiteur;Journee;Résident ;All-FIMU;13762
2016-05-10;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3845
2016-05-10;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;835
2016-05-10;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2073
2016-05-10;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;639
2016-05-10;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;427
2016-05-11;Mercredi;Visiteur;Journee;Résident ;All-FIMU;13988
2016-05-11;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3871
2016-05-11;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;900
2016-05-11;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2246
2016-05-11;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;581
2016-05-11;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;428
2016-05-12;Jeudi;Visiteur;Journee;Résident ;All-FIMU;13653
2016-05-12;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;4068
2016-05-12;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;791
2016-05-12;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;2319
2016-05-12;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;739
2016-05-12;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;373
2016-05-13;Vendredi;Visiteur;Journee;Résident ;All-FIMU;15668
2016-05-13;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;5071
2016-05-13;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;1456
2016-05-13;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;2321
2016-05-13;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;816
2016-05-13;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;678
2016-05-14;Samedi;Visiteur;Journee;Résident ;All-FIMU;20183
2016-05-14;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;12323
2016-05-14;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;2415
2016-05-14;Samedi;Excursionniste;Journee;Résident ;All-FIMU;2787
2016-05-14;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;2042
2016-05-14;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;1084
2016-05-15;Dimanche;Visiteur;Journee;Résident ;All-FIMU;20619
2016-05-15;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;16194
2016-05-15;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;2426
2016-05-15;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;3102
2016-05-15;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;2446
2016-05-15;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;994
2016-05-16;Lundi;Visiteur;Journee;Résident ;All-FIMU;13502
2016-05-16;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;6382
2016-05-16;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;1505
2016-05-16;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2157
2016-05-16;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;1092
2016-05-16;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;698
2016-05-17;Mardi;Visiteur;Journee;Résident ;All-FIMU;13860
2016-05-17;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3535
2016-05-17;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;922
2016-05-17;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2089
2016-05-17;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;741
2016-05-17;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;452
2016-05-18;Mercredi;Visiteur;Journee;Résident ;All-FIMU;13360
2016-05-18;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3820
2016-05-18;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;1005
2016-05-18;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2354
2016-05-18;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;774
2016-05-18;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;500
2016-05-19;Jeudi;Visiteur;Journee;Résident ;All-FIMU;13446
2016-05-19;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;3721
2016-05-19;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;944
2016-05-19;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;2144
2016-05-19;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;615
2016-05-19;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;458
2016-05-20;Vendredi;Visiteur;Journee;Résident ;All-FIMU;14302
2016-05-20;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;4246
2016-05-20;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;961
2016-05-20;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;2127
2016-05-20;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;705
2016-05-20;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;484
2016-05-21;Samedi;Visiteur;Journee;Résident ;All-FIMU;11965
2016-05-21;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;3537
2016-05-21;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;922
2016-05-21;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1703
2016-05-21;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;511
2016-05-21;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;486
2016-05-22;Dimanche;Visiteur;Journee;Résident ;All-FIMU;7786
2016-05-22;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;1866
2016-05-22;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;704
2016-05-22;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;1167
2016-05-22;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;352
2016-05-22;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;311
2016-05-23;Lundi;Visiteur;Journee;Résident ;All-FIMU;12327
2016-05-23;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;3344
2016-05-23;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;829
2016-05-23;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2164
2016-05-23;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;636
2016-05-23;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;382
2016-05-24;Mardi;Visiteur;Journee;Résident ;All-FIMU;13999
2016-05-24;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3771
2016-05-24;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;817
2016-05-24;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2238
2016-05-24;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;724
2016-05-24;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;412
2016-05-25;Mercredi;Visiteur;Journee;Résident ;All-FIMU;14035
2016-05-25;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3411
2016-05-25;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;888
2016-05-25;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2301
2016-05-25;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;656
2016-05-25;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;480
2016-05-26;Jeudi;Visiteur;Journee;Résident ;All-FIMU;14335
2016-05-26;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;3906
2016-05-26;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;1119
2016-05-26;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;2494
2016-05-26;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;617
2016-05-26;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;611
2016-05-27;Vendredi;Visiteur;Journee;Résident ;All-FIMU;14606
2016-05-27;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;4253
2016-05-27;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;1061
2016-05-27;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;2276
2016-05-27;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;772
2016-05-27;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;480
2016-05-28;Samedi;Visiteur;Journee;Résident ;All-FIMU;11610
2016-05-28;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;4026
2016-05-28;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;1185
2016-05-28;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1817
2016-05-28;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;722
2016-05-28;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;549
2016-05-29;Dimanche;Visiteur;Journee;Résident ;All-FIMU;8299
2016-05-29;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;2113
2016-05-29;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;709
2016-05-29;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;1277
2016-05-29;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;408
2016-05-29;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;308
