Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;23:30:00;Présent;Résident ;All-FIMU;4682
2016-04-22;Vendredi;23:30:00;Présent;Touriste Français;All-FIMU;929
2016-04-22;Vendredi;23:30:00;Présent;Touriste Etranger;All-FIMU;330
2016-04-23;Samedi;12:00:00;Présent;Résident ;All-FIMU;6151
2016-04-23;Samedi;12:00:00;Présent;Touriste Français;All-FIMU;1688
2016-04-23;Samedi;12:00:00;Présent;Touriste Etranger;All-FIMU;299
2016-04-23;Samedi;12:30:00;Présent;Résident ;All-FIMU;5713
2016-04-23;Samedi;12:30:00;Présent;Touriste Français;All-FIMU;1521
2016-04-23;Samedi;12:30:00;Présent;Touriste Etranger;All-FIMU;335
2016-04-23;Samedi;13:00:00;Présent;Résident ;All-FIMU;5543
2016-04-23;Samedi;13:00:00;Présent;Touriste Français;All-FIMU;1420
2016-04-23;Samedi;13:00:00;Présent;Touriste Etranger;All-FIMU;381
2016-04-23;Samedi;13:30:00;Présent;Résident ;All-FIMU;5489
2016-04-23;Samedi;13:30:00;Présent;Touriste Français;All-FIMU;1349
2016-04-23;Samedi;13:30:00;Présent;Touriste Etranger;All-FIMU;331
2016-04-23;Samedi;14:00:00;Présent;Résident ;All-FIMU;5746
2016-04-23;Samedi;14:00:00;Présent;Touriste Français;All-FIMU;1389
2016-04-23;Samedi;14:00:00;Présent;Touriste Etranger;All-FIMU;338
2016-04-23;Samedi;14:30:00;Présent;Résident ;All-FIMU;5901
2016-04-23;Samedi;14:30:00;Présent;Touriste Français;All-FIMU;1450
2016-04-23;Samedi;14:30:00;Présent;Touriste Etranger;All-FIMU;333
2016-04-23;Samedi;15:00:00;Présent;Résident ;All-FIMU;6021
2016-04-23;Samedi;15:00:00;Présent;Touriste Français;All-FIMU;1539
2016-04-23;Samedi;15:00:00;Présent;Touriste Etranger;All-FIMU;362
2016-04-23;Samedi;15:30:00;Présent;Résident ;All-FIMU;6060
2016-04-23;Samedi;15:30:00;Présent;Touriste Français;All-FIMU;1616
2016-04-23;Samedi;15:30:00;Présent;Touriste Etranger;All-FIMU;337
2016-04-23;Samedi;16:00:00;Présent;Résident ;All-FIMU;6091
2016-04-23;Samedi;16:00:00;Présent;Touriste Français;All-FIMU;1664
2016-04-23;Samedi;16:00:00;Présent;Touriste Etranger;All-FIMU;350
2016-04-23;Samedi;16:30:00;Présent;Résident ;All-FIMU;6114
2016-04-23;Samedi;16:30:00;Présent;Touriste Français;All-FIMU;1759
2016-04-23;Samedi;16:30:00;Présent;Touriste Etranger;All-FIMU;330
2016-04-23;Samedi;17:00:00;Présent;Résident ;All-FIMU;6408
2016-04-23;Samedi;17:00:00;Présent;Touriste Français;All-FIMU;1923
2016-04-23;Samedi;17:00:00;Présent;Touriste Etranger;All-FIMU;366
2016-04-23;Samedi;17:30:00;Présent;Résident ;All-FIMU;6660
2016-04-23;Samedi;17:30:00;Présent;Touriste Français;All-FIMU;1953
2016-04-23;Samedi;17:30:00;Présent;Touriste Etranger;All-FIMU;375
2016-04-23;Samedi;18:00:00;Présent;Résident ;All-FIMU;6569
2016-04-23;Samedi;18:00:00;Présent;Touriste Français;All-FIMU;1789
2016-04-23;Samedi;18:00:00;Présent;Touriste Etranger;All-FIMU;405
2016-04-23;Samedi;18:30:00;Présent;Résident ;All-FIMU;6062
2016-04-23;Samedi;18:30:00;Présent;Touriste Français;All-FIMU;1505
2016-04-23;Samedi;18:30:00;Présent;Touriste Etranger;All-FIMU;378
2016-04-23;Samedi;19:00:00;Présent;Résident ;All-FIMU;5866
2016-04-23;Samedi;19:00:00;Présent;Touriste Français;All-FIMU;1457
2016-04-23;Samedi;19:00:00;Présent;Touriste Etranger;All-FIMU;356
2016-04-23;Samedi;19:30:00;Présent;Résident ;All-FIMU;5748
2016-04-23;Samedi;19:30:00;Présent;Touriste Français;All-FIMU;1353
2016-04-23;Samedi;19:30:00;Présent;Touriste Etranger;All-FIMU;354
2016-04-23;Samedi;20:00:00;Présent;Résident ;All-FIMU;5646
2016-04-23;Samedi;20:00:00;Présent;Touriste Français;All-FIMU;1371
2016-04-23;Samedi;20:00:00;Présent;Touriste Etranger;All-FIMU;361
2016-04-23;Samedi;20:30:00;Présent;Résident ;All-FIMU;5454
2016-04-23;Samedi;20:30:00;Présent;Touriste Français;All-FIMU;1315
2016-04-23;Samedi;20:30:00;Présent;Touriste Etranger;All-FIMU;355
2016-04-23;Samedi;21:00:00;Présent;Résident ;All-FIMU;5292
2016-04-23;Samedi;21:00:00;Présent;Touriste Français;All-FIMU;1271
2016-04-23;Samedi;21:00:00;Présent;Touriste Etranger;All-FIMU;341
2016-04-23;Samedi;21:30:00;Présent;Résident ;All-FIMU;5110
2016-04-23;Samedi;21:30:00;Présent;Touriste Français;All-FIMU;1153
2016-04-23;Samedi;21:30:00;Présent;Touriste Etranger;All-FIMU;330
2016-04-23;Samedi;22:00:00;Présent;Résident ;All-FIMU;5033
2016-04-23;Samedi;22:00:00;Présent;Touriste Français;All-FIMU;1082
2016-04-23;Samedi;22:00:00;Présent;Touriste Etranger;All-FIMU;319
2016-04-23;Samedi;22:30:00;Présent;Résident ;All-FIMU;4964
2016-04-23;Samedi;22:30:00;Présent;Touriste Français;All-FIMU;1020
2016-04-23;Samedi;22:30:00;Présent;Touriste Etranger;All-FIMU;309
2016-04-23;Samedi;23:00:00;Présent;Résident ;All-FIMU;4889
2016-04-23;Samedi;23:00:00;Présent;Touriste Français;All-FIMU;955
2016-04-23;Samedi;23:00:00;Présent;Touriste Etranger;All-FIMU;292
2016-04-23;Samedi;23:30:00;Présent;Résident ;All-FIMU;4815
2016-04-23;Samedi;23:30:00;Présent;Touriste Français;All-FIMU;903
2016-04-23;Samedi;23:30:00;Présent;Touriste Etranger;All-FIMU;280
2016-04-24;Dimanche;12:00:00;Présent;Résident ;All-FIMU;5073
2016-04-24;Dimanche;12:00:00;Présent;Touriste Français;All-FIMU;891
2016-04-24;Dimanche;12:00:00;Présent;Touriste Etranger;All-FIMU;381
2016-04-24;Dimanche;12:30:00;Présent;Résident ;All-FIMU;5170
2016-04-24;Dimanche;12:30:00;Présent;Touriste Français;All-FIMU;895
