Date;JourDeLaSemaine;TypeNuitee;CategorieVisiteurs;ZoneNuitee;Volume
2016-05-20;Vendredi;Veille;Touriste Français;Haut Rhin Sud;205
2016-05-20;Vendredi;Veille;Touriste Français;Haut Rhin Nord;64
2016-05-20;Vendredi;Veille;Touriste Français;Vosges;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Ville de Belfort;224
2016-05-20;Vendredi;Veille;Touriste Etranger;Agglomeration de Belfort;39
2016-05-20;Vendredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-20;Vendredi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-21;Samedi;Veille;Résident ;Ville de Belfort;6003
2016-05-21;Samedi;Veille;Résident ;Agglomeration de Belfort;1703
2016-05-21;Samedi;Veille;Résident ;Agglomeration de Montbeliard;50
2016-05-21;Samedi;Veille;Résident ;Agglomeration de Hericourt;70
2016-05-21;Samedi;Veille;Résident ;Reste Territoire de Belfort;760
2016-05-21;Samedi;Veille;Résident ;Reste Haute Saone;30
2016-05-21;Samedi;Veille;Résident ;Reste Doubs;#
2016-05-21;Samedi;Veille;Résident ;Haut Rhin Sud;#
2016-05-21;Samedi;Veille;Touriste Français;Ville de Belfort;786
2016-05-21;Samedi;Veille;Touriste Français;Agglomeration de Belfort;131
2016-05-21;Samedi;Veille;Touriste Français;Agglomeration de Montbeliard;463
2016-05-21;Samedi;Veille;Touriste Français;Agglomeration de Hericourt;205
2016-05-21;Samedi;Veille;Touriste Français;Reste Territoire de Belfort;29
2016-05-21;Samedi;Veille;Touriste Français;Reste Haute Saone;223
2016-05-21;Samedi;Veille;Touriste Français;Reste Doubs;306
2016-05-21;Samedi;Veille;Touriste Français;Haut Rhin Sud;147
2016-05-21;Samedi;Veille;Touriste Français;Haut Rhin Nord;37
2016-05-21;Samedi;Veille;Touriste Français;Vosges;25
2016-05-21;Samedi;Veille;Touriste Etranger;Ville de Belfort;184
2016-05-21;Samedi;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-21;Samedi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-21;Samedi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-21;Samedi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-21;Samedi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-21;Samedi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-21;Samedi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-21;Samedi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-22;Dimanche;Veille;Résident ;Ville de Belfort;4405
2016-05-22;Dimanche;Veille;Résident ;Agglomeration de Belfort;538
2016-05-22;Dimanche;Veille;Résident ;Agglomeration de Montbeliard;#
2016-05-22;Dimanche;Veille;Résident ;Agglomeration de Hericourt;#
2016-05-22;Dimanche;Veille;Résident ;Reste Territoire de Belfort;182
2016-05-22;Dimanche;Veille;Résident ;Reste Haute Saone;30
2016-05-22;Dimanche;Veille;Résident ;Reste Doubs;30
2016-05-22;Dimanche;Veille;Résident ;Haut Rhin Sud;#
2016-05-22;Dimanche;Veille;Résident ;Vosges;#
2016-05-22;Dimanche;Veille;Touriste Français;Ville de Belfort;596
2016-05-22;Dimanche;Veille;Touriste Français;Agglomeration de Belfort;47
2016-05-22;Dimanche;Veille;Touriste Français;Agglomeration de Montbeliard;152
2016-05-22;Dimanche;Veille;Touriste Français;Agglomeration de Hericourt;47
2016-05-22;Dimanche;Veille;Touriste Français;Reste Territoire de Belfort;#
2016-05-22;Dimanche;Veille;Touriste Français;Reste Haute Saone;69
2016-05-22;Dimanche;Veille;Touriste Français;Reste Doubs;77
2016-05-22;Dimanche;Veille;Touriste Français;Haut Rhin Sud;68
2016-05-22;Dimanche;Veille;Touriste Français;Haut Rhin Nord;#
2016-05-22;Dimanche;Veille;Touriste Français;Vosges;47
2016-05-22;Dimanche;Veille;Touriste Etranger;Ville de Belfort;171
2016-05-22;Dimanche;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Reste Doubs;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-22;Dimanche;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-23;Lundi;Veille;Résident ;Ville de Belfort;5853
2016-05-23;Lundi;Veille;Résident ;Agglomeration de Belfort;1646
2016-05-23;Lundi;Veille;Résident ;Agglomeration de Montbeliard;111
2016-05-23;Lundi;Veille;Résident ;Agglomeration de Hericourt;40
2016-05-23;Lundi;Veille;Résident ;Reste Territoire de Belfort;843
2016-05-23;Lundi;Veille;Résident ;Reste Haute Saone;111
2016-05-23;Lundi;Veille;Résident ;Reste Doubs;40
2016-05-23;Lundi;Veille;Résident ;Haut Rhin Sud;50
2016-05-23;Lundi;Veille;Résident ;Vosges;#
2016-05-23;Lundi;Veille;Touriste Français;Ville de Belfort;944
2016-05-23;Lundi;Veille;Touriste Français;Agglomeration de Belfort;139
2016-05-23;Lundi;Veille;Touriste Français;Agglomeration de Montbeliard;361
2016-05-23;Lundi;Veille;Touriste Français;Agglomeration de Hericourt;155
2016-05-23;Lundi;Veille;Touriste Français;Reste Territoire de Belfort;47
2016-05-23;Lundi;Veille;Touriste Français;Reste Haute Saone;158
2016-05-23;Lundi;Veille;Touriste Français;Reste Doubs;205
2016-05-23;Lundi;Veille;Touriste Français;Haut Rhin Sud;106
2016-05-23;Lundi;Veille;Touriste Français;Haut Rhin Nord;47
2016-05-23;Lundi;Veille;Touriste Français;Vosges;31
2016-05-23;Lundi;Veille;Touriste Etranger;Ville de Belfort;239
2016-05-23;Lundi;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-23;Lundi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-23;Lundi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-23;Lundi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-23;Lundi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-23;Lundi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-24;Mardi;Veille;Résident ;Ville de Belfort;6409
2016-05-24;Mardi;Veille;Résident ;Agglomeration de Belfort;2228
2016-05-24;Mardi;Veille;Résident ;Agglomeration de Montbeliard;122
2016-05-24;Mardi;Veille;Résident ;Agglomeration de Hericourt;122
2016-05-24;Mardi;Veille;Résident ;Reste Territoire de Belfort;1180
2016-05-24;Mardi;Veille;Résident ;Reste Doubs;#
2016-05-24;Mardi;Veille;Résident ;Haut Rhin Sud;#
2016-05-24;Mardi;Veille;Résident ;Haut Rhin Nord;#
2016-05-24;Mardi;Veille;Touriste Français;Ville de Belfort;914
2016-05-24;Mardi;Veille;Touriste Français;Agglomeration de Belfort;279
2016-05-24;Mardi;Veille;Touriste Français;Agglomeration de Montbeliard;454
2016-05-24;Mardi;Veille;Touriste Français;Agglomeration de Hericourt;178
2016-05-24;Mardi;Veille;Touriste Français;Reste Territoire de Belfort;85
2016-05-24;Mardi;Veille;Touriste Français;Reste Haute Saone;176
2016-05-24;Mardi;Veille;Touriste Français;Reste Doubs;256
2016-05-24;Mardi;Veille;Touriste Français;Haut Rhin Sud;136
2016-05-24;Mardi;Veille;Touriste Français;Haut Rhin Nord;58
2016-05-24;Mardi;Veille;Touriste Français;Vosges;#
2016-05-24;Mardi;Veille;Touriste Etranger;Ville de Belfort;241
2016-05-24;Mardi;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-24;Mardi;Veille;Touriste Etranger;Agglomeration de Montbeliard;23
2016-05-24;Mardi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-24;Mardi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-24;Mardi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-24;Mardi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-25;Mercredi;Veille;Résident ;Ville de Belfort;6498
2016-05-25;Mercredi;Veille;Résident ;Agglomeration de Belfort;2128
2016-05-25;Mercredi;Veille;Résident ;Agglomeration de Montbeliard;101
2016-05-25;Mercredi;Veille;Résident ;Agglomeration de Hericourt;81
2016-05-25;Mercredi;Veille;Résident ;Reste Territoire de Belfort;1069
2016-05-25;Mercredi;Veille;Résident ;Reste Haute Saone;40
2016-05-25;Mercredi;Veille;Résident ;Reste Doubs;#
2016-05-25;Mercredi;Veille;Résident ;Haut Rhin Sud;40
2016-05-25;Mercredi;Veille;Résident ;Haut Rhin Nord;#
2016-05-25;Mercredi;Veille;Touriste Français;Ville de Belfort;890
2016-05-25;Mercredi;Veille;Touriste Français;Agglomeration de Belfort;122
2016-05-25;Mercredi;Veille;Touriste Français;Agglomeration de Montbeliard;408
2016-05-25;Mercredi;Veille;Touriste Français;Agglomeration de Hericourt;167
2016-05-25;Mercredi;Veille;Touriste Français;Reste Territoire de Belfort;65
2016-05-25;Mercredi;Veille;Touriste Français;Reste Haute Saone;145
2016-05-25;Mercredi;Veille;Touriste Français;Reste Doubs;209
2016-05-25;Mercredi;Veille;Touriste Français;Haut Rhin Sud;257
2016-05-25;Mercredi;Veille;Touriste Français;Haut Rhin Nord;26
2016-05-25;Mercredi;Veille;Touriste Français;Vosges;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Ville de Belfort;182
2016-05-25;Mercredi;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;29
2016-05-25;Mercredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-25;Mercredi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-26;Jeudi;Veille;Résident ;Ville de Belfort;6505
2016-05-26;Jeudi;Veille;Résident ;Agglomeration de Belfort;2158
2016-05-26;Jeudi;Veille;Résident ;Agglomeration de Montbeliard;122
2016-05-26;Jeudi;Veille;Résident ;Agglomeration de Hericourt;50
2016-05-26;Jeudi;Veille;Résident ;Reste Territoire de Belfort;1181
2016-05-26;Jeudi;Veille;Résident ;Reste Haute Saone;40
2016-05-26;Jeudi;Veille;Résident ;Reste Doubs;30
2016-05-26;Jeudi;Veille;Résident ;Haut Rhin Sud;#
2016-05-26;Jeudi;Veille;Résident ;Haut Rhin Nord;#
2016-05-26;Jeudi;Veille;Touriste Français;Ville de Belfort;923
2016-05-26;Jeudi;Veille;Touriste Français;Agglomeration de Belfort;230
2016-05-26;Jeudi;Veille;Touriste Français;Agglomeration de Montbeliard;564
2016-05-26;Jeudi;Veille;Touriste Français;Agglomeration de Hericourt;201
2016-05-26;Jeudi;Veille;Touriste Français;Reste Territoire de Belfort;35
2016-05-26;Jeudi;Veille;Touriste Français;Reste Haute Saone;250
2016-05-26;Jeudi;Veille;Touriste Français;Reste Doubs;243
2016-05-26;Jeudi;Veille;Touriste Français;Haut Rhin Sud;207
2016-05-26;Jeudi;Veille;Touriste Français;Haut Rhin Nord;70
2016-05-26;Jeudi;Veille;Touriste Français;Vosges;#
2016-05-26;Jeudi;Veille;Touriste Etranger;Ville de Belfort;237
2016-05-26;Jeudi;Veille;Touriste Etranger;Agglomeration de Belfort;29
2016-05-26;Jeudi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-26;Jeudi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-26;Jeudi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-26;Jeudi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-26;Jeudi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-27;Vendredi;Veille;Résident ;Ville de Belfort;6736
2016-05-27;Vendredi;Veille;Résident ;Agglomeration de Belfort;2214
2016-05-27;Vendredi;Veille;Résident ;Agglomeration de Montbeliard;122
2016-05-27;Vendredi;Veille;Résident ;Agglomeration de Hericourt;81
2016-05-27;Vendredi;Veille;Résident ;Reste Territoire de Belfort;1326
2016-05-27;Vendredi;Veille;Résident ;Reste Haute Saone;40
2016-05-27;Vendredi;Veille;Résident ;Reste Doubs;61
2016-05-27;Vendredi;Veille;Résident ;Haut Rhin Sud;#
2016-05-27;Vendredi;Veille;Touriste Français;Ville de Belfort;855
2016-05-27;Vendredi;Veille;Touriste Français;Agglomeration de Belfort;154
2016-05-27;Vendredi;Veille;Touriste Français;Agglomeration de Montbeliard;600
2016-05-27;Vendredi;Veille;Touriste Français;Agglomeration de Hericourt;229
2016-05-27;Vendredi;Veille;Touriste Français;Reste Territoire de Belfort;72
2016-05-27;Vendredi;Veille;Touriste Français;Reste Haute Saone;239
2016-05-27;Vendredi;Veille;Touriste Français;Reste Doubs;264
2016-05-27;Vendredi;Veille;Touriste Français;Haut Rhin Sud;157
2016-05-27;Vendredi;Veille;Touriste Français;Haut Rhin Nord;80
2016-05-27;Vendredi;Veille;Touriste Français;Vosges;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Ville de Belfort;246
2016-05-27;Vendredi;Veille;Touriste Etranger;Agglomeration de Belfort;42
2016-05-27;Vendredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;25
2016-05-27;Vendredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-27;Vendredi;Veille;Touriste Etranger;Vosges;#
2016-05-28;Samedi;Veille;Résident ;Ville de Belfort;5636
2016-05-28;Samedi;Veille;Résident ;Agglomeration de Belfort;1603
2016-05-28;Samedi;Veille;Résident ;Agglomeration de Montbeliard;122
2016-05-28;Samedi;Veille;Résident ;Agglomeration de Hericourt;61
2016-05-28;Samedi;Veille;Résident ;Reste Territoire de Belfort;806
2016-05-28;Samedi;Veille;Résident ;Reste Doubs;40
2016-05-28;Samedi;Veille;Résident ;Haut Rhin Sud;30
2016-05-28;Samedi;Veille;Touriste Français;Ville de Belfort;813
2016-05-28;Samedi;Veille;Touriste Français;Agglomeration de Belfort;213
2016-05-28;Samedi;Veille;Touriste Français;Agglomeration de Montbeliard;626
2016-05-28;Samedi;Veille;Touriste Français;Agglomeration de Hericourt;158
2016-05-28;Samedi;Veille;Touriste Français;Reste Territoire de Belfort;76
2016-05-28;Samedi;Veille;Touriste Français;Reste Haute Saone;181
2016-05-28;Samedi;Veille;Touriste Français;Reste Doubs;278
2016-05-28;Samedi;Veille;Touriste Français;Haut Rhin Sud;190
2016-05-28;Samedi;Veille;Touriste Français;Haut Rhin Nord;44
2016-05-28;Samedi;Veille;Touriste Français;Vosges;#
2016-05-28;Samedi;Veille;Touriste Etranger;Ville de Belfort;270
2016-05-28;Samedi;Veille;Touriste Etranger;Agglomeration de Belfort;29
2016-05-28;Samedi;Veille;Touriste Etranger;Agglomeration de Montbeliard;34
2016-05-28;Samedi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-28;Samedi;Veille;Touriste Etranger;Reste Territoire de Belfort;25
2016-05-28;Samedi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-28;Samedi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-28;Samedi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-28;Samedi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-29;Dimanche;Veille;Résident ;Ville de Belfort;4517
2016-05-29;Dimanche;Veille;Résident ;Agglomeration de Belfort;582
2016-05-29;Dimanche;Veille;Résident ;Agglomeration de Montbeliard;40
2016-05-29;Dimanche;Veille;Résident ;Agglomeration de Hericourt;#
2016-05-29;Dimanche;Veille;Résident ;Reste Territoire de Belfort;306
2016-05-29;Dimanche;Veille;Résident ;Reste Haute Saone;61
2016-05-29;Dimanche;Veille;Résident ;Reste Doubs;40
2016-05-29;Dimanche;Veille;Résident ;Haut Rhin Sud;51
2016-05-29;Dimanche;Veille;Résident ;Haut Rhin Nord;#
2016-05-29;Dimanche;Veille;Résident ;Vosges;30
2016-05-29;Dimanche;Veille;Touriste Français;Ville de Belfort;630
2016-05-29;Dimanche;Veille;Touriste Français;Agglomeration de Belfort;34
2016-05-29;Dimanche;Veille;Touriste Français;Agglomeration de Montbeliard;133
2016-05-29;Dimanche;Veille;Touriste Français;Agglomeration de Hericourt;22
2016-05-29;Dimanche;Veille;Touriste Français;Reste Territoire de Belfort;25
2016-05-29;Dimanche;Veille;Touriste Français;Reste Haute Saone;93
2016-05-29;Dimanche;Veille;Touriste Français;Reste Doubs;160
2016-05-29;Dimanche;Veille;Touriste Français;Haut Rhin Sud;127
2016-05-29;Dimanche;Veille;Touriste Français;Haut Rhin Nord;29
2016-05-29;Dimanche;Veille;Touriste Français;Vosges;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Ville de Belfort;173
2016-05-29;Dimanche;Veille;Touriste Etranger;Agglomeration de Belfort;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Reste Doubs;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-29;Dimanche;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-05-30;Lundi;Veille;Résident ;Ville de Belfort;5797
2016-05-30;Lundi;Veille;Résident ;Agglomeration de Belfort;1584
2016-05-30;Lundi;Veille;Résident ;Agglomeration de Montbeliard;112
2016-05-30;Lundi;Veille;Résident ;Agglomeration de Hericourt;71
2016-05-30;Lundi;Veille;Résident ;Reste Territoire de Belfort;950
2016-05-30;Lundi;Veille;Résident ;Reste Haute Saone;81
2016-05-30;Lundi;Veille;Résident ;Reste Doubs;40
2016-05-30;Lundi;Veille;Résident ;Haut Rhin Sud;#
2016-05-30;Lundi;Veille;Touriste Français;Ville de Belfort;821
2016-05-30;Lundi;Veille;Touriste Français;Agglomeration de Belfort;151
2016-05-30;Lundi;Veille;Touriste Français;Agglomeration de Montbeliard;367
2016-05-30;Lundi;Veille;Touriste Français;Agglomeration de Hericourt;155
2016-05-30;Lundi;Veille;Touriste Français;Reste Territoire de Belfort;37
2016-05-30;Lundi;Veille;Touriste Français;Reste Haute Saone;129
2016-05-30;Lundi;Veille;Touriste Français;Reste Doubs;165
2016-05-30;Lundi;Veille;Touriste Français;Haut Rhin Sud;193
2016-05-30;Lundi;Veille;Touriste Français;Haut Rhin Nord;#
2016-05-30;Lundi;Veille;Touriste Français;Vosges;25
2016-05-30;Lundi;Veille;Touriste Etranger;Ville de Belfort;220
2016-05-30;Lundi;Veille;Touriste Etranger;Agglomeration de Belfort;26
2016-05-30;Lundi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-30;Lundi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-30;Lundi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-30;Lundi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-31;Mardi;Veille;Résident ;Ville de Belfort;6473
2016-05-31;Mardi;Veille;Résident ;Agglomeration de Belfort;1871
2016-05-31;Mardi;Veille;Résident ;Agglomeration de Montbeliard;102
2016-05-31;Mardi;Veille;Résident ;Agglomeration de Hericourt;71
2016-05-31;Mardi;Veille;Résident ;Reste Territoire de Belfort;1063
2016-05-31;Mardi;Veille;Résident ;Reste Haute Saone;30
2016-05-31;Mardi;Veille;Résident ;Reste Doubs;#
2016-05-31;Mardi;Veille;Résident ;Haut Rhin Sud;#
2016-05-31;Mardi;Veille;Résident ;Haut Rhin Nord;#
2016-05-31;Mardi;Veille;Touriste Français;Ville de Belfort;890
2016-05-31;Mardi;Veille;Touriste Français;Agglomeration de Belfort;95
2016-05-31;Mardi;Veille;Touriste Français;Agglomeration de Montbeliard;548
2016-05-31;Mardi;Veille;Touriste Français;Agglomeration de Hericourt;184
2016-05-31;Mardi;Veille;Touriste Français;Reste Territoire de Belfort;43
2016-05-31;Mardi;Veille;Touriste Français;Reste Haute Saone;185
2016-05-31;Mardi;Veille;Touriste Français;Reste Doubs;209
2016-05-31;Mardi;Veille;Touriste Français;Haut Rhin Sud;98
2016-05-31;Mardi;Veille;Touriste Français;Haut Rhin Nord;#
2016-05-31;Mardi;Veille;Touriste Français;Vosges;#
2016-05-31;Mardi;Veille;Touriste Etranger;Ville de Belfort;249
2016-05-31;Mardi;Veille;Touriste Etranger;Agglomeration de Belfort;60
2016-05-31;Mardi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-05-31;Mardi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-05-31;Mardi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-05-31;Mardi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-05-31;Mardi;Veille;Touriste Etranger;Reste Doubs;#
2016-05-31;Mardi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-05-31;Mardi;Veille;Touriste Etranger;Haut Rhin Nord;#
2016-06-01;Mercredi;Veille;Résident ;Ville de Belfort;6662
2016-06-01;Mercredi;Veille;Résident ;Agglomeration de Belfort;2005
2016-06-01;Mercredi;Veille;Résident ;Agglomeration de Montbeliard;122
2016-06-01;Mercredi;Veille;Résident ;Agglomeration de Hericourt;71
2016-06-01;Mercredi;Veille;Résident ;Reste Territoire de Belfort;1095
2016-06-01;Mercredi;Veille;Résident ;Reste Haute Saone;61
2016-06-01;Mercredi;Veille;Résident ;Reste Doubs;#
2016-06-01;Mercredi;Veille;Résident ;Haut Rhin Sud;40
2016-06-01;Mercredi;Veille;Résident ;Haut Rhin Nord;#
2016-06-01;Mercredi;Veille;Touriste Français;Ville de Belfort;1046
2016-06-01;Mercredi;Veille;Touriste Français;Agglomeration de Belfort;183
2016-06-01;Mercredi;Veille;Touriste Français;Agglomeration de Montbeliard;399
2016-06-01;Mercredi;Veille;Touriste Français;Agglomeration de Hericourt;173
2016-06-01;Mercredi;Veille;Touriste Français;Reste Territoire de Belfort;56
2016-06-01;Mercredi;Veille;Touriste Français;Reste Haute Saone;163
2016-06-01;Mercredi;Veille;Touriste Français;Reste Doubs;195
2016-06-01;Mercredi;Veille;Touriste Français;Haut Rhin Sud;285
2016-06-01;Mercredi;Veille;Touriste Français;Haut Rhin Nord;63
2016-06-01;Mercredi;Veille;Touriste Français;Vosges;#
2016-06-01;Mercredi;Veille;Touriste Etranger;Ville de Belfort;234
2016-06-01;Mercredi;Veille;Touriste Etranger;Agglomeration de Belfort;22
2016-06-01;Mercredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;#
2016-06-01;Mercredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-06-01;Mercredi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-06-01;Mercredi;Veille;Touriste Etranger;Reste Doubs;#
2016-06-01;Mercredi;Veille;Touriste Etranger;Haut Rhin Sud;#
2016-06-02;Jeudi;Veille;Résident ;Ville de Belfort;6337
2016-06-02;Jeudi;Veille;Résident ;Agglomeration de Belfort;1863
2016-06-02;Jeudi;Veille;Résident ;Agglomeration de Montbeliard;112
2016-06-02;Jeudi;Veille;Résident ;Agglomeration de Hericourt;61
2016-06-02;Jeudi;Veille;Résident ;Reste Territoire de Belfort;1085
2016-06-02;Jeudi;Veille;Résident ;Reste Haute Saone;51
2016-06-02;Jeudi;Veille;Résident ;Reste Doubs;30
2016-06-02;Jeudi;Veille;Résident ;Haut Rhin Sud;#
2016-06-02;Jeudi;Veille;Touriste Français;Ville de Belfort;1023
2016-06-02;Jeudi;Veille;Touriste Français;Agglomeration de Belfort;217
2016-06-02;Jeudi;Veille;Touriste Français;Agglomeration de Montbeliard;405
2016-06-02;Jeudi;Veille;Touriste Français;Agglomeration de Hericourt;244
2016-06-02;Jeudi;Veille;Touriste Français;Reste Territoire de Belfort;63
2016-06-02;Jeudi;Veille;Touriste Français;Reste Haute Saone;164
2016-06-02;Jeudi;Veille;Touriste Français;Reste Doubs;242
2016-06-02;Jeudi;Veille;Touriste Français;Haut Rhin Sud;143
2016-06-02;Jeudi;Veille;Touriste Français;Haut Rhin Nord;48
2016-06-02;Jeudi;Veille;Touriste Français;Vosges;25
2016-06-02;Jeudi;Veille;Touriste Etranger;Ville de Belfort;244
2016-06-02;Jeudi;Veille;Touriste Etranger;Agglomeration de Belfort;36
2016-06-02;Jeudi;Veille;Touriste Etranger;Agglomeration de Montbeliard;33
2016-06-02;Jeudi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-06-02;Jeudi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-06-02;Jeudi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-06-02;Jeudi;Veille;Touriste Etranger;Reste Doubs;#
2016-06-02;Jeudi;Veille;Touriste Etranger;Haut Rhin Sud;24
2016-06-03;Vendredi;Veille;Résident ;Ville de Belfort;6307
2016-06-03;Vendredi;Veille;Résident ;Agglomeration de Belfort;2037
2016-06-03;Vendredi;Veille;Résident ;Agglomeration de Montbeliard;143
2016-06-03;Vendredi;Veille;Résident ;Agglomeration de Hericourt;102
2016-06-03;Vendredi;Veille;Résident ;Reste Territoire de Belfort;1187
2016-06-03;Vendredi;Veille;Résident ;Reste Haute Saone;30
2016-06-03;Vendredi;Veille;Résident ;Reste Doubs;30
2016-06-03;Vendredi;Veille;Résident ;Haut Rhin Sud;#
2016-06-03;Vendredi;Veille;Touriste Français;Ville de Belfort;873
2016-06-03;Vendredi;Veille;Touriste Français;Agglomeration de Belfort;189
2016-06-03;Vendredi;Veille;Touriste Français;Agglomeration de Montbeliard;548
2016-06-03;Vendredi;Veille;Touriste Français;Agglomeration de Hericourt;175
2016-06-03;Vendredi;Veille;Touriste Français;Reste Territoire de Belfort;91
2016-06-03;Vendredi;Veille;Touriste Français;Reste Haute Saone;202
2016-06-03;Vendredi;Veille;Touriste Français;Reste Doubs;348
2016-06-03;Vendredi;Veille;Touriste Français;Haut Rhin Sud;139
2016-06-03;Vendredi;Veille;Touriste Français;Haut Rhin Nord;#
2016-06-03;Vendredi;Veille;Touriste Français;Vosges;#
2016-06-03;Vendredi;Veille;Touriste Etranger;Ville de Belfort;247
2016-06-03;Vendredi;Veille;Touriste Etranger;Agglomeration de Belfort;56
2016-06-03;Vendredi;Veille;Touriste Etranger;Agglomeration de Montbeliard;27
2016-06-03;Vendredi;Veille;Touriste Etranger;Agglomeration de Hericourt;#
2016-06-03;Vendredi;Veille;Touriste Etranger;Reste Territoire de Belfort;#
2016-06-03;Vendredi;Veille;Touriste Etranger;Reste Haute Saone;#
2016-06-03;Vendredi;Veille;Touriste Etranger;Reste Doubs;#
