Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-24;Dimanche;Duree5h;Résident ;All-FIMU;472
2016-04-24;Dimanche;Duree5h;Touriste Français;All-FIMU;126
2016-04-24;Dimanche;Duree5h;Touriste Etranger;All-FIMU;55
2016-04-24;Dimanche;Duree6h;Résident ;All-FIMU;531
2016-04-24;Dimanche;Duree6h;Touriste Français;All-FIMU;110
2016-04-24;Dimanche;Duree6h;Touriste Etranger;All-FIMU;29
2016-04-24;Dimanche;Duree7h;Résident ;All-FIMU;393
2016-04-24;Dimanche;Duree7h;Touriste Français;All-FIMU;82
2016-04-24;Dimanche;Duree7h;Touriste Etranger;All-FIMU;#
2016-04-24;Dimanche;Duree8h;Résident ;All-FIMU;403
2016-04-24;Dimanche;Duree8h;Touriste Français;All-FIMU;58
2016-04-24;Dimanche;Duree8h;Touriste Etranger;All-FIMU;24
2016-04-24;Dimanche;Duree9h;Résident ;All-FIMU;413
2016-04-24;Dimanche;Duree9h;Touriste Français;All-FIMU;83
2016-04-24;Dimanche;Duree9h;Touriste Etranger;All-FIMU;41
2016-04-24;Dimanche;Duree10h;Résident ;All-FIMU;452
2016-04-24;Dimanche;Duree10h;Touriste Français;All-FIMU;62
2016-04-24;Dimanche;Duree10h;Touriste Etranger;All-FIMU;#
2016-04-24;Dimanche;Duree10h-18h;Résident ;All-FIMU;2213
2016-04-24;Dimanche;Duree10h-18h;Touriste Français;All-FIMU;290
2016-04-24;Dimanche;Duree10h-18h;Touriste Etranger;All-FIMU;76
2016-04-25;Lundi;Duree1h;Résident ;All-FIMU;4283
2016-04-25;Lundi;Duree1h;Touriste Français;All-FIMU;1194
2016-04-25;Lundi;Duree1h;Touriste Etranger;All-FIMU;259
2016-04-25;Lundi;Duree2h;Résident ;All-FIMU;2058
2016-04-25;Lundi;Duree2h;Touriste Français;All-FIMU;597
2016-04-25;Lundi;Duree2h;Touriste Etranger;All-FIMU;130
2016-04-25;Lundi;Duree3h;Résident ;All-FIMU;2373
2016-04-25;Lundi;Duree3h;Touriste Français;All-FIMU;609
2016-04-25;Lundi;Duree3h;Touriste Etranger;All-FIMU;138
2016-04-25;Lundi;Duree4h;Résident ;All-FIMU;1811
2016-04-25;Lundi;Duree4h;Touriste Français;All-FIMU;485
2016-04-25;Lundi;Duree4h;Touriste Etranger;All-FIMU;259
2016-04-25;Lundi;Duree5h;Résident ;All-FIMU;807
2016-04-25;Lundi;Duree5h;Touriste Français;All-FIMU;192
2016-04-25;Lundi;Duree5h;Touriste Etranger;All-FIMU;#
2016-04-25;Lundi;Duree6h;Résident ;All-FIMU;1408
2016-04-25;Lundi;Duree6h;Touriste Français;All-FIMU;399
2016-04-25;Lundi;Duree6h;Touriste Etranger;All-FIMU;105
2016-04-25;Lundi;Duree7h;Résident ;All-FIMU;837
2016-04-25;Lundi;Duree7h;Touriste Français;All-FIMU;294
2016-04-25;Lundi;Duree7h;Touriste Etranger;All-FIMU;54
2016-04-25;Lundi;Duree8h;Résident ;All-FIMU;768
2016-04-25;Lundi;Duree8h;Touriste Français;All-FIMU;125
2016-04-25;Lundi;Duree8h;Touriste Etranger;All-FIMU;25
2016-04-25;Lundi;Duree9h;Résident ;All-FIMU;610
2016-04-25;Lundi;Duree9h;Touriste Français;All-FIMU;146
2016-04-25;Lundi;Duree9h;Touriste Etranger;All-FIMU;26
2016-04-25;Lundi;Duree10h;Résident ;All-FIMU;374
2016-04-25;Lundi;Duree10h;Touriste Français;All-FIMU;48
2016-04-25;Lundi;Duree10h-18h;Résident ;All-FIMU;1920
2016-04-25;Lundi;Duree10h-18h;Touriste Français;All-FIMU;267
