Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;H;Visiteur;5J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;6J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;6J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;7J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;7J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;8J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;8J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;9J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;9J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;10J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;10J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;11J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;11J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;12J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;12J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;13J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;13J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;H;Visiteur;14J;Résident ;All-FIMU;8027
2016-04-22;Vendredi;H;Visiteur;14J;Touriste Français;All-FIMU;2603
2016-04-22;Vendredi;NR;Visiteur;1J;Résident ;All-FIMU;392
2016-04-22;Vendredi;NR;Visiteur;1J;Touriste Français;All-FIMU;97
2016-04-22;Vendredi;NR;Visiteur;2J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;2J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;3J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;3J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;4J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;4J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;5J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;5J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;6J;Résident ;All-FIMU;559
