Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;2J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;2J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;3J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;3J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;4J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;4J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;5J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;5J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;6J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;6J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;7J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;7J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;8J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;8J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;9J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;9J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;10J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;10J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;11J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;11J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;12J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;12J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;13J;Résident ;All-FIMU;1638
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;13J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;14J;Résident ;All-FIMU;1638
